@relation .//99.1x1.arff

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data
        
2268045,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
2268046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1
2268052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2268055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268088,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0
2268113,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
2268150,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0
2268151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2268160,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2268170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2268176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268182,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0
2268189,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2268192,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0
2268205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268212,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0
2268216,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2268217,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
2268219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2268220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
2268226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2268231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2268233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2268239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268240,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,6,2
2268242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268243,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268246,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4,1
2268253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2268262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268266,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
2268273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
2268276,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2
2268279,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1
2268280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268284,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0
2268285,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2268289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268291,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0
2268293,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0
2268295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2268312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2268320,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0
2268322,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,5,0
2268323,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2268327,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0
2268331,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2
2268339,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2268344,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1
2268345,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,5,1
2268346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
2268349,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
2268350,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0
2268352,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
2268355,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,2
2268356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268357,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2268360,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,4,0
2268361,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0
2268362,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0
2268364,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0
2268365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268366,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2268368,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1
2268371,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2
2268372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2268378,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,4,2
2268379,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
2268380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2268381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2268385,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0
2268386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2268391,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
2268394,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268395,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
2268396,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
2268399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2268400,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
2268401,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,2
2268403,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
2268407,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
2268411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2268417,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,0
2268418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
2268419,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268420,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,4,2
2268423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268426,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1
2268427,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
2268433,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0
2268435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2268437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268445,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268447,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2
2268448,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,5,1
2268449,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2268450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268451,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0
2268452,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,0
2268453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268454,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2268457,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,6,2
