Afghanistan, Afganistán, Afghanestan
Albania, Albania, Shqiperia
Algeria, Argelia, Al Jaza'ir
American Samoa, Samoa Americana, American Samoa
Andorra, Andorra, Andorra
Angola, Angola, Angola
Anguilla, Anguilla, Anguilla
Antarctica, Antártida, Antarctica
Antigua and Barbuda, Antigua y Barbuda, Antigua and Barbuda
Argentina, Argentina, Argentina
Armenia, Armenia, Hayastan
Aruba, Aruba, Aruba
Ascension Island, Isla Ascension, Ascension
Australia, Australia, Australia
Austria, Austria, Österreich
Azerbaijan, Azerbaiyán, Azarbaycan
Bahamas, Bahamas, Bahamas
Bahrain, Bahrein, Al Bahrayn
Bangladesh, Bangladesh, Bangladesh
Barbados, Barbados, Barbados
Belarus, Bielorrusia, Byelarus
Belgium, Bélgica, Belgique/Belgie
Belize, Belice, Belize
Benin, Benín, Benin
Bermuda, Bermudas, Bermuda
Bhutan, Bután, Bhutan 
Bolivia, Bolivia, Bolivia
Bosnia and Herzegovina, Bosnia-Herzegovina, Bosna i Hercegovina
Botswana, Botswana, Botswana
Bouvet Island, Isla Bouvet, Bouvet Island
Brazil, Brasil, Brasil
British Indian Ocean Territory, Territorio Británico del Océano Indico, BIOT
Brunei Darussalam, Brunei Darussalam, Negara Brunei Darussalam
Bulgaria, Bulgaria, Bulgaria
Burkina Faso, Burkina Faso, Burkina Faso
Burundi, Burundi, Burundi
Cambodia, Camboya, Kampuchea
Cameroon, Camerún, Cameroon
Canada, Canadá, Canada
Cape Verde, Cabo Verde, Cabo Verde
Cayman Islands, Islas Caimán, Cayman Islands
Central African Republic, República Centroafricana, Republique Centrafricaine
Chad, Chad, Tchad
Chile, Chile, Chile
China, China, Zhong Guo
Christmas Island, Isla De Navidad, Isla Christmas, Christmas Island
Cocos (Keeling) Islands, Islas Cocos, Cocos (Keeling) Islands
Colombia, Colombia, Colombia
Comoros, Comores, Comores
Democratic Republic of the Congo  (Kinshasa), República Democrática del Congo, République Démocratique du Congo
Congo, Republic of  (Brazzaville), República del Congo, République du Congo
Cook Islands, Islas Cook, Cook Islands
Costa Rica, Costa Rica, Costa Rica
Ivory Coast, Costa de Marfil, Cote d'Ivoire
Croatia, Croacia, Hrvatska
Cuba, Cuba, Cuba
Cyprus, Chipre, Kibris, Kypros
Czech Republic, República Checa, Ceska Republika
Denmark, Dinamarca, Danmark
Djibouti, Djibouti, Yibuti, Djibouti
Dominica, Dominica, Dominica
Dominican Republic, Dominicana, República
Dominicana, Republica
East Timor  Timor-Leste, Timor Oriental, Timor
Ecuador, Ecuador, Ecuador
Egypt, Egipto, Misr
El Salvador, El Salvador, El Salvador
Equatorial Guinea, Guinea Ecuatorial, Guinea
Ecuatorial
Eritrea, Eritrea, Hagere Ertra
Estonia, Estonia, Eesti Vabariik
Ethiopia, Etiopía, Ityop'iya
Falkland Islands, Islas Malvinas, Islas Malvinas
Faroe Islands, Islas Feroe, Foroyar
Fiji, Fiyi, Fiji
Finland, Finlandia, Suomen Tasavalta
France, Francia, France
French Guiana, Guayana Francesa, Guyane
French Polynesia, Polinesia Francesa, Polynésie Française
Gabon, Gabón, Gabon
Gambia, Gambia, The Gambia
Georgia, Georgia, Sak'art'velo
Germany, Alemania, Deutschland
Ghana, Ghana, Ghana
Gibraltar, Gibraltar, Gibraltar
Great Britain, Gran Bretaña, Great Britain
Greece, Grecia, Ellas or Ellada
Greenland, Groenlandia, Kalaallit Nunaat
Grenada, Granada, Grenada
Guadeloupe, Guadalupe, Guadeloupe
Guam, Guam, Guam
Guatemala, Guatemala, Guatemala
Guernsey, Guernsey, Guernsey
Guinea, República Guinea, Guinee
Guinea-Bissau, Guinea Bissau, Guine-Bissau
Guyana, Guyana, Guyana
Haiti, Haiti, Haiti
Heard and Mc Donald Islands, Islas de Heard y McDonald, Heard and Mc Donald
Honduras, Honduras, Honduras
Hong Kong, Hong Kong, Xianggang
